optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-3.993338653,96.9587053571,-5.0025619924,99.1796875,-5.0628181875,99.267578125,1,-4.7848973728,-2.8197402597,-4.6972212371,-2.7042399173,,,,,,,
-5.3269884944,99.1964285714,-5.343208015,99.1845703125,-5.3972483933,99.2724609375,2,-5.309842276,-2.8202597403,-5.203390031,-2.7047569804,,,,,,,
-5.509904514,99.208984375,-5.4126258612,99.16015625,-5.4620340765,99.267578125,3,-5.416817089,-2.8176623377,-5.3014448435,-2.7042399173,,,,,,,
-5.4901116601,99.23828125,-5.3831240356,99.1552734375,-5.4313088834,99.2578125,4,-5.3713539632,-2.8171428571,-5.2549414665,-2.7032057911,,,,,,,
-5.4933555714,99.2313058036,-5.3410064757,99.140625,-5.3902379215,99.2724609375,5,-5.3064496433,-2.8155844156,-5.1927795,-2.7047569804,,,,,,,
-5.4656472572,99.2278180804,-5.3151593924,99.130859375,-5.3625896335,99.2724609375,6,-5.2666185761,-2.8145454545,-5.1509330987,-2.7047569804,,,,,,,
-5.4438032585,99.2592075893,-5.2807911634,99.1259765625,-5.3290993512,99.27734375,7,-5.2136561886,-2.814025974,-5.1002446875,-2.7052740434,,,,,,,
-5.4111130646,99.2103794643,-5.2903031588,99.111328125,-5.3325515747,99.2724609375,8,-5.2283144355,-2.8124675325,-5.1054697173,-2.7047569804,,,,,,,
-5.3779654511,99.2110770089,-5.2965346873,99.0966796875,-5.3369245946,99.27734375,9,-5.2379173925,-2.8109090909,-5.1120883964,-2.7052740434,,,,,,,
-5.3798002141,99.2068917411,-5.3000003695,99.0966796875,-5.3408244908,99.2919921875,10,-5.2432581042,-2.8109090909,-5.1179909905,-2.7068252327,,,,,,,
-5.3697638367,99.2180524554,-5.2991242528,99.0966796875,-5.3396265268,99.3017578125,11,-5.2419079843,-2.8109090909,-5.1161778409,-2.7078593588,,,,,,,
-5.3624105232,99.2173549107,-5.2904432118,99.0966796875,-5.332436645,99.306640625,12,-5.228530261,-2.8109090909,-5.1052957682,-2.7083764219,,,,,,,
