optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER,,,,,,,
,,,,,,,,,,,,,,,,,
-3.4679921861,92.4176897321,-4.6101040006,96.796875,-4.60011397,96.8994140625,1,-3.0200318654,-1.330027933,-3.101738642,-1.3278324782,,,,,,,
-4.761466676,96.8889508929,-4.7670074224,96.8017578125,-4.7514798701,96.9140625,2,-3.165968256,-1.3301675978,-3.2456788537,-1.3282485092,,,,,,,
-4.8355595563,96.8994140625,-4.7678941488,96.8115234375,-4.7511868954,96.904296875,3,-3.1667930032,-1.3304469274,-3.2454002517,-1.3279711552,,,,,,,
-4.8504206887,96.9196428571,-4.7693874419,96.81640625,-4.7532902062,96.904296875,4,-3.16818192,-1.3305865922,-3.2474003786,-1.3279711552,,,,,,,
-4.8756045784,96.8868582589,-4.7705130339,96.806640625,-4.7528217316,96.904296875,5,-3.1692288368,-1.3303072626,-3.2469548864,-1.3279711552,,,,,,,
-4.9531072063,96.8826729911,-4.9444051862,96.8115234375,-4.9249589801,96.875,6,-3.3309665018,-1.3304469274,-3.4106474484,-1.3271390931,,,,,,,
-5.0017113405,96.8624441964,-5.0770201504,96.767578125,-5.0609522164,96.875,7,-3.4543121179,-1.3291899441,-3.5399691465,-1.3271390931,,,,,,,
-5.0165380895,96.8973214286,-5.0763929725,96.7724609375,-5.0603598595,96.8798828125,8,-3.4537287776,-1.3293296089,-3.5394058494,-1.3272777701,,,,,,,
-5.0276364267,96.9482421875,-5.0750485361,96.767578125,-5.0590843678,96.85546875,9,-3.4524783129,-1.3291899441,-3.5381929306,-1.326584385,,,,,,,
-4.9978769175,96.9147600446,-5.0727667034,96.787109375,-5.0570533574,96.8017578125,10,-3.4503559728,-1.3297486034,-3.5362615572,-1.3250589377,,,,,,,
-5.0048977613,96.9287109375,-5.0703181267,96.7626953125,-5.0549279094,96.81640625,11,-3.4480785435,-1.3290502793,-3.5342403792,-1.3254749688,,,,,,,
-5.0103879903,96.89453125,-5.0678817391,96.7822265625,-5.052852118,96.826171875,12,-3.4458124513,-1.3296089385,-3.5322664217,-1.3257523228,,,,,,,
-5.0095050326,96.8931361607,-5.0658964992,96.7822265625,-5.0512797773,96.81640625,13,-3.4439659731,-1.3296089385,-3.5307712166,-1.3254749688,,,,,,,
-5.0157008861,96.9091796875,-5.0649193943,96.787109375,-5.0504761398,96.796875,14,-3.4430571647,-1.3297486034,-3.5300070039,-1.3249202607,,,,,,,
-5.0147736677,96.8924386161,-5.0638015091,96.787109375,-5.0494703531,96.7919921875,15,-3.4420174159,-1.3297486034,-3.5290505589,-1.3247815837,,,,,,,
-5.0108258988,96.9189453125,-5.0622364163,96.77734375,-5.0483712971,96.787109375,16,-3.440561718,-1.3294692737,-3.5280054203,-1.3246429067,,,,,,,
-5.0043459654,96.9224330357,-5.060987246,96.77734375,-5.0475502908,96.796875,17,-3.4393998605,-1.3294692737,-3.5272246908,-1.3249202607,,,,,,,
-4.9978490097,96.9747488839,-4.8864248872,96.7724609375,-4.8689005375,96.787109375,18,-3.2770388343,-1.3293296089,-3.3573391135,-1.3246429067,,,,,,,
-5.0024485971,96.9287109375,-5.0615072608,96.7724609375,-5.0480885625,96.787109375,19,-3.439883528,-1.3293296089,-3.527736556,-1.3246429067,,,,,,,
-4.9964963521,96.8603515625,-4.9924534142,96.7236328125,-4.9767450809,96.7919921875,20,-3.3756563173,-1.3279329609,-3.4598930335,-1.3247815837,,,,,,,
-4.9722309964,96.9022042411,-4.8915602446,96.767578125,-4.8741731465,96.7626953125,21,-3.2818152472,-1.3291899441,-3.3623530596,-1.3239495216,,,,,,,
-4.9472545564,96.953125,-4.8607566178,96.69921875,-4.8478433132,96.7578125,22,-3.2531646922,-1.3272346369,-3.3373149117,-1.3238108445,,,,,,,
-4.8974208163,96.8045479911,-5.0666449964,96.7041015625,-5.0470276833,96.767578125,23,-3.4446621529,-1.3273743017,-3.5267277213,-1.3240881986,,,,,,,
-4.9931738351,96.9126674107,-4.9622247458,96.7138671875,-4.9451160669,96.748046875,24,-3.347540533,-1.3276536313,-3.4298156715,-1.3235334905,,,,,,,
-4.9706985346,96.9287109375,-4.92559461,96.689453125,-4.9097103417,96.73828125,25,-3.3134707228,-1.3269553073,-3.3961468757,-1.3232561365,,,,,,,
-4.9280897089,96.8819754464,-4.8946628988,96.708984375,-4.8790422678,96.77734375,26,-3.2847010361,-1.3275139665,-3.3669833122,-1.3243655526,,,,,,,
-4.9858286466,96.9447544643,-5.0110111773,96.689453125,-4.9926139474,96.7578125,27,-3.392916954,-1.3269553073,-3.4749834073,-1.3238108445,,,,,,,
-4.9556353007,96.8575613839,-4.8829259872,96.6943359375,-4.8674263299,96.7333984375,28,-3.2737844959,-1.3270949721,-3.3559372274,-1.3231174594,,,,,,,
-4.9953243273,96.9496372768,-5.0677147329,96.73828125,-5.0476148069,96.748046875,29,-3.4456571183,-1.3283519553,-3.5272860419,-1.3235334905,,,,,,,
-4.9845450486,96.8812779018,-5.0663109004,96.708984375,-5.0465378284,96.767578125,30,-3.4443514091,-1.3275139665,-3.5262618977,-1.3240881986,,,,,,,
-4.9622762161,96.8743024554,-5.0026251197,96.7236328125,-4.9843910277,96.767578125,31,-3.3851170542,-1.3279329609,-3.4671638865,-1.3240881986,,,,,,,
