optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
-0.9007843687,73.5700334821,-1.0005494617,74.3212890625,-1.0126937516,74.599609375,15,-35.9002340082,-7.189063409,-41.5919865905,-7.0992541595
-0.8989236005,73.5672433036,-1.0000332206,74.51171875,-1.0122076146,74.9267578125,16,-35.8802066441,-7.211751018,-41.5704289912,-7.1376936317
-0.8970847337,73.5832868304,-0.9973311156,74.501953125,-1.0088967018,74.853515625,17,-35.7753795634,-7.2105875509,-41.4236075472,-7.1290877797
-0.8941311045,73.6258370536,-0.9887193888,74.1455078125,-0.9988579914,74.5166015625,18,-35.4412910803,-7.1681210006,-40.9784439252,-7.0895008606
-0.8905056698,73.4102957589,-0.9940850802,74.7119140625,-1.0047671489,75.087890625,19,-35.649450922,-7.2356020942,-41.2404837564,-7.156626506
-0.8860792073,73.3454241071,-0.9849472702,73.80859375,-0.9947588943,74.3017578125,20,-35.2949532499,-7.1279813845,-40.7966706851,-7.0642570281
-0.8873181731,73.2449776786,-0.993673224,74.5068359375,-1.0040010169,75.0341796875,21,-35.633473127,-7.2111692845,-41.2065098599,-7.1503155479
-0.88782018,73.6453683036,-0.9879551709,74.306640625,-0.9968919903,74.62890625,22,-35.4116435508,-7.1873182083,-40.8912621923,-7.1026965003
-0.8899772899,73.5923549107,-0.9879318714,74.306640625,-0.997977034,74.70703125,23,-35.4107396578,-7.1873182083,-40.9393781319,-7.1118760757
-0.8927375473,73.4912109375,-0.9958929285,74.5361328125,-1.007006827,74.990234375,24,-35.7195856736,-7.2146596859,-41.3398016127,-7.1451520367
-0.8893042803,73.4075055804,-0.9873750724,74.228515625,-0.9967832275,74.638671875,25,-35.3891388631,-7.1780104712,-40.886439137,-7.1038439472
-0.8896709022,73.3935546875,-0.9913483568,74.4384765625,-1.0011064947,74.7509765625,26,-35.5432808352,-7.2030250145,-41.0781531329,-7.1170395869
-0.890355839,73.3426339286,-0.9852857694,74.0380859375,-0.9935773969,74.1748046875,27,-35.3080851924,-7.1553228621,-40.7442775337,-7.049340218
-0.8859861358,73.2917131696,-0.9853165187,74.033203125,-0.9939586796,74.2578125,28,-35.3092780988,-7.1547411286,-40.7611854022,-7.0590935169
-0.886843117,73.2191685268,-0.9850876391,73.90625,-0.9937201254,74.287109375,29,-35.3003988065,-7.1396160558,-40.7506067882,-7.0625358577
-0.8855194466,73.2352120536,-0.9867244706,73.9306640625,-0.9957530081,74.21875,30,-35.3638990261,-7.1425247237,-40.8407543669,-7.0545037292
-0.8874049566,73.2540457589,-0.9891684934,74.1455078125,-0.9986162357,74.482421875,31,-35.4587139133,-7.1681210006,-40.9677233409,-7.0854847963
-0.8904783154,73.2589285714,-0.9876304448,74.08203125,-0.9955664925,74.2724609375,32,-35.3990459319,-7.1605584642,-40.8324833882,-7.0608146873
-0.8824840091,73.1256975446,-0.9826591082,73.8232421875,-0.9898338556,74.0283203125,33,-35.206184925,-7.1297265852,-40.5782713124,-7.0321285141
-0.8777403665,72.9582868304,-0.9807391733,73.5888671875,-0.9865944609,73.857421875,34,-35.1317018212,-7.1018033741,-40.4346213182,-7.0120481928
-0.8786037205,73.1222098214,-0.9797775321,74.2578125,-0.9845401913,74.47265625,35,-35.094395336,-7.1815008726,-40.3435253442,-7.0843373494
-0.8738012396,73.2247488839,-0.9778604664,74.2626953125,-0.9829479635,74.267578125,36,-35.0200235424,-7.1820826062,-40.2729184759,-7.0602409639
-0.8736785983,73.1940569196,-0.9798483603,73.9404296875,-0.9841512814,74.1943359375,37,-35.0971430876,-7.1436881908,-40.3262792515,-7.0516351119
-0.8726260426,72.9499162946,-0.9794953763,73.9111328125,-0.9832518429,73.9990234375,38,-35.083449218,-7.1401977894,-40.2863939165,-7.0286861733
-0.8679393157,72.6499720982,-0.9771057904,74.0185546875,-0.9822241411,73.984375,39,-34.9907461893,-7.1529959279,-40.2408207865,-7.0269650029
-0.8643948426,72.4253627232,-0.9789837457,74.267578125,-0.9834401615,74.1943359375,40,-35.0636007133,-7.1826643397,-40.2947448505,-7.0516351119
-0.8600540668,72.3081752232,-0.971239952,73.92578125,-0.9755888127,73.9892578125,41,-34.7631833439,-7.1419429901,-39.9465791257,-7.0275387263
-0.8477953438,72.1128627232,-0.9602567405,73.5205078125,-0.9635952666,73.6865234375,42,-34.3370940604,-7.0936591041,-39.4147288989,-6.9919678715
-0.8134528331,71.4264787946,-0.9444673792,73.0078125,-0.946335268,73.30078125,43,-33.7245521264,-7.0325770797,-38.6493394011,-6.9466437177
-0.7733641622,70.7421875,-0.9319164887,73.1591796875,-0.9287655666,73.4228515625,44,-33.2376453692,-7.0506108202,-37.8702162269,-6.9609868044
-0.7425321877,69.6142578125,-0.8936442316,71.81640625,-0.8917488597,71.9775390625,45,-31.7528885149,-6.8906340896,-36.2287213843,-6.7911646586
-0.7021839224,68.095703125,-0.7863346249,69.228515625,-0.7921699278,69.375,46,-27.5898553963,-6.5823152996,-31.8129233079,-6.4853700516
-0.6687227153,65.8370535714,-0.7440925479,67.36328125,-0.7399472691,67.470703125,47,-25.9510909745,-6.3600930774,-29.4971250628,-6.2616179002
-0.6673522933,65.3913225446,-0.8332087852,68.9599609375,-0.8281731203,69.287109375,48,-29.4083196314,-6.5503199535,-33.4094741563,-6.4750430293
-0.6449288277,64.1329520089,-0.8043260701,67.16796875,-0.8070821382,67.32421875,49,-28.2878262919,-6.3368237347,-32.4742008367,-6.2444061962
-0.6189435395,65.4471261161,-0.7728873461,69.033203125,-0.7833688289,69.1845703125,50,-27.0681736151,-6.559045957,-31.422641198,-6.4629948365
-0.570469622,62.1847098214,-0.7501739495,61.0107421875,-0.7614395894,61.0595703125,51,-26.1870165069,-5.603257708,-30.4501956049,-5.5083189902
-0.5856153338,58.4423828125,-0.700297223,58.9404296875,-0.7150293753,59.443359375,52,-24.2520689251,-5.356602676,-28.3921484816,-5.3184165232
-0.5632424633,58.8671875,-0.6191077791,58.5400390625,-0.6271871705,58.720703125,53,-21.1023570364,-5.3089005236,-24.4968120741,-5.2335054504
-0.5474032498,59.5479910714,-0.617902704,62.6318359375,-0.6163048517,62.744140625,54,-21.0556066293,-5.7963932519,-24.0142388898,-5.7062535858
-0.5838384765,61.2214006696,-0.7518174946,66.77734375,-0.7501827143,67.2216796875,55,-26.2507771825,-6.2902850494,-29.9510128316,-6.2323580034
-0.5441801409,59.4370814732,-0.613471432,61.15234375,-0.6154892836,61.728515625,56,-20.8836972136,-5.6201279814,-23.9780727644,-5.586919105
-0.4304030016,51.0630580357,-0.3732210845,45.7958984375,-0.3745415974,45.4345703125,57,-11.5632814123,-3.7905759162,-13.2933193898,-3.6724039013
-0.2847692457,41.1411830357,-0.4062593248,50.21484375,-0.4141460057,50.7177734375,58,-12.8449866838,-4.3170447935,-15.0495650793,-4.2931726908
-0.3164341836,46.6761997768,-0.2486613624,45.5615234375,-0.2480037676,45.15625,59,-6.7310369896,-3.7626527051,-7.6820370159,-3.6397016638
-0.2365166032,42.0479910714,-0.1782066267,39.1259765625,-0.1820881534,39.1015625,60,-3.9977737981,-2.995927865,-4.7590287383,-2.9282845668
-0.2165468676,40.5531529018,-0.164616341,37.0458984375,-0.1679162816,37.2998046875,61,-3.4705441177,-2.7481093659,-4.1305813034,-2.7165806081
-0.1998859917,36.4871651786,-0.1243146447,32.8515625,-0.1275263852,33.65234375,62,-1.9070559896,-2.2484002327,-2.3395033791,-2.2880091796
-0.1655208862,29.8304966518,-0.0750204948,18.5107421875,-0.0752650387,18.5009765625,63,0.0052907727,-0.5398487493,-0.0219895334,-0.5077452668
-0.1152707331,22.4714006696,-0.0687817657,16.650390625,-0.0686234782,17.01171875,64,0.2473197635,-0.3182082606,0.2725284873,-0.3327596099
-0.0817650101,16.5841238839,-0.0661825601,18.92578125,-0.0680063207,19.306640625,65,0.3481549011,-0.5892961024,0.2998961562,-0.6024096386
-0.0856678794,17.3737444196,-0.1353578694,22.2216796875,-0.1352299243,22.2021484375,66,-2.3354734581,-0.9819662595,-2.681114525,-0.9426276535
-0.1363338353,20.6068638393,-0.0479337056,10.2197265625,-0.0486208704,10.2197265625,67,1.0561118851,0.4479348458,1.1595381751,0.4652897303
