optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
-19.7201115468,41.4222935268,-55.5702167988,71.8505859375,-55.960772872,72.0361328125,222,-22.6528607833,-5.4612778316,-21.6681839592,-4.9653024911
-20.1704692402,41.6838727679,-55.4632978201,71.8505859375,-55.8586746693,72.0361328125,229,-22.6038744889,-5.4612778316,-21.6237911768,-4.9653024911
-19.7953653378,41.4655412946,-55.0821604013,71.6943359375,-55.4977263689,71.9140625,237,-22.4292515172,-5.4457889642,-21.4668491451,-4.9541814947
-20.1236922222,41.5569196429,-54.8582805634,71.5673828125,-55.2935406208,71.7138671875,244,-22.3266781127,-5.4332042594,-21.3780682141,-4.9359430605
-20.217093354,41.5318080357,-54.6737354755,71.54296875,-55.1165726423,71.6357421875,250,-22.2421264259,-5.4307841239,-21.3011216984,-4.9288256228
-20.540425324,41.7954799107,-54.4540574074,71.328125,-54.8902899265,71.6162109375,258,-22.1414781159,-5.4094869313,-21.2027329011,-4.9270462633
-20.0513087017,41.3058035714,-54.3709892035,71.2744140625,-54.8042741776,71.54296875,262,-22.1034193583,-5.4041626331,-21.1653328458,-4.9203736655
-20.2484004991,41.2904575893,-54.1484770536,71.25,-54.5784122467,71.3818359375,269,-22.0014725776,-5.4017424976,-21.0671270079,-4.9056939502
-20.128898406,41.2123325893,-54.0202904463,71.1376953125,-54.4418113232,71.3671875,277,-21.9427422478,-5.3906098742,-21.0077322789,-4.9043594306
-20.314727813,41.25,-53.7960810184,70.9716796875,-54.2222412586,71.1474609375,282,-21.8400178375,-5.3741529526,-20.9122621742,-4.884341637
-20.8933473119,41.5457589286,-53.6057802916,70.8642578125,-54.0136609077,70.95703125,290,-21.7528291312,-5.3635043562,-20.8215704492,-4.8669928826
-20.9435071877,41.0051618304,-53.3918977261,70.7373046875,-53.7888053656,70.78125,298,-21.6548361047,-5.3509196515,-20.7238021938,-4.8509786477
-21.0044328566,41.1851283482,-53.3083840609,70.625,-53.6925071955,70.80078125,305,-21.6165732533,-5.3397870281,-20.681931293,-4.8527580071
