optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
-0.1092204663,15.25390625,-0.1114950908,15.5615234375,-0.107590953,15.5224609375,14,-1.017346313,-0.1123778502,-1.0253574538,-0.1197771588
-0.1142426684,15.9005301339,-0.1126298444,15.52734375,-0.1132827316,15.5712890625,15,-1.0531490137,-0.108577633,-1.2192892041,-0.1253481894
-0.1079986006,14.7272600446,-0.1131223015,16.2353515625,-0.1175458093,16.0693359375,16,-1.0686865663,-0.1872964169,-1.3645418873,-0.1821727019
-0.10491445,14.3205915179,-0.0991114526,11.93359375,-0.0932351899,11.6650390625,17,-0.626629145,0.2909880565,-0.536224186,0.3203342618
-0.1051285828,14.6533203125,-0.1132237858,14.78515625,-0.1076175048,14.228515625,18,-1.071888506,-0.0260586319,-1.0262621343,0.0278551532
-0.1041049618,14.3219866071,-0.0913181019,13.02734375,-0.0939383334,12.861328125,19,-0.3807405111,0.1693811075,-0.5601818749,0.1838440111
-0.0905723294,11.8833705357,-0.0898148479,11.0302734375,-0.0829914579,10.6689453125,20,-0.3333112237,0.391422367,-0.1871971042,0.4339832869
-0.0879710181,11.1648995536,-0.0819463193,10.3857421875,-0.0837136529,10.458984375,21,-0.0850506452,0.4630836048,-0.2118039194,0.4579387187
-0.0862818999,11.1209542411,-0.0930761622,11.5869140625,-0.0872968735,11.4208984375,22,-0.4362092139,0.3295331162,-0.3338923376,0.348189415
-0.0891281718,11.7403738839,-0.0942647115,12.4267578125,-0.0918688068,11.9677734375,23,-0.4737092273,0.2361563518,-0.4896684277,0.2857938719
-0.0886298338,11.8422154018,-0.0842304299,9.7119140625,-0.078263002,9.39453125,24,-0.1571168002,0.5380021716,-0.0260879345,0.5793871866
-0.0606651697,9.3617466518,-0.0803094509,9.4921875,-0.0828912435,9.2333984375,25,-0.033405676,0.562432139,-0.1837825731,0.5977715877
-0.1467183068,19.1936383929,-0.1568425746,21.30859375,-0.1531183533,20.966796875,26,-2.4481084225,-0.7513572204,-2.5765787905,-0.7409470752
-0.1233469752,17.6911272321,-0.0980859299,14.208984375,-0.0929701617,13.7158203125,27,-0.5942727976,0.0380021716,-0.5271940787,0.0863509749
-0.0839548855,12.0242745536,-0.081617255,11.3818359375,-0.0832222579,11.6455078125,28,-0.074668311,0.3523344191,-0.195060981,0.3225626741
-0.0809382,11.0477120536,-0.0733284042,8.4375,-0.0732616584,8.5400390625,29,0.1868538891,0.6796959826,0.1443191366,0.6768802228
-0.0861452041,12.6967075893,-0.105972663,15.6298828125,-0.1041997541,15.7470703125,30,-0.843107749,-0.1199782845,-0.9098116492,-0.1454038997
-0.0955553024,13.3768136161,-0.0994998057,13.486328125,-0.0962707563,13.4228515625,31,-0.6388821059,0.11834962,-0.6396527895,0.1197771588
-0.0998361143,13.6090959821,-0.1090778294,15.5908203125,-0.1121615846,15.5517578125,32,-0.941079103,-0.1156351792,-1.1810891933,-0.1231197772
-0.1067678234,14.9881417411,-0.1028577043,13.9453125,-0.1073090265,14.091796875,33,-0.7448274344,0.0673181325,-1.0157515789,0.043454039
-0.1539434632,20.8572823661,-0.1460715864,20.3076171875,-0.1361744923,20.05859375,34,-2.1082721073,-0.6400651466,-1.9992631816,-0.6373259053
-0.1297140197,18.0510602679,-0.1088929022,14.8974609375,-0.1087345101,15.0390625,35,-0.9352444491,-0.0385450597,-1.0643210254,-0.0646239554
-0.0995532802,13.1277901786,-0.0952073099,12.63671875,-0.0975997206,12.79296875,36,-0.503449226,0.2128121607,-0.6849336042,0.191643454
-0.1189401391,16.5638950893,-0.1273397148,17.91015625,-0.1281839088,17.919921875,37,-1.517261318,-0.3735070575,-1.7270059578,-0.3933147632
-0.0995185097,13.1633649554,-0.1146703458,15.595703125,-0.1104217887,15.1904296875,38,-1.1175290393,-0.1161780673,-1.1218104174,-0.0818941504
-0.1308730258,18.1584821429,-0.1420055713,18.857421875,-0.1307292136,18.6083984375,39,-1.9799849367,-0.4788273616,-1.8137302426,-0.4718662953
-0.1321422849,17.5174386161,-0.1174219667,14.0771484375,-0.1116280092,13.7744140625,40,-1.2043456505,0.052660152,-1.1629090737,0.0796657382
-0.1142179743,15.1674107143,-0.1160784329,15.4248046875,-0.1243529912,15.419921875,41,-1.1619557069,-0.0971769815,-1.596477946,-0.1080779944
-0.1291748449,17.0856584821,-0.1095700628,14.23828125,-0.1085480214,14.0576171875,42,-0.9566095975,0.0347448426,-1.0579669348,0.0473537604
-0.1385420547,18.6669921875,-0.1373999408,18.6474609375,-0.1336415586,18.2470703125,43,-1.8346723208,-0.4554831705,-1.9129604123,-0.4306406685
-0.1203571658,16.6971261161,-0.1315351035,18.76953125,-0.1301013753,18.2861328125,44,-1.6496303671,-0.4690553746,-1.7923383721,-0.435097493
-0.1337937863,18.9676339286,-0.1118751953,14.6435546875,-0.1135602715,14.814453125,45,-1.0293390193,-0.0103148751,-1.2287456153,-0.0389972145
-0.117310557,16.6671316964,-0.1076260877,14.8193359375,-0.1106534946,14.8095703125,46,-0.8952750847,-0.0298588491,-1.1297051617,-0.0384401114
-0.1126340622,15.9926060268,-0.1195060148,16.943359375,-0.1142696123,16.806640625,47,-1.2700996196,-0.2660152009,-1.2529144571,-0.2662952646
-0.114573729,16.6134207589,-0.1258791097,18.2763671875,-0.1186049818,18.3447265625,48,-1.4711776485,-0.4142236699,-1.4006302857,-0.4417827298
-0.1237181883,18.2414899554,-0.1133688765,16.1474609375,-0.1113746869,16.201171875,49,-1.0764662743,-0.17752443,-1.1542778124,-0.1972144847
-0.1100642482,16.5959821429,-0.096938641,13.5986328125,-0.0964962073,13.6767578125,50,-0.558074594,0.1058631922,-0.6473344136,0.0908077994
-0.0927007423,12.8857421875,-0.1049076578,14.2333984375,-0.1017273661,14.2626953125,51,-0.809505682,0.0352877307,-0.825571807,0.0239554318
-0.1058339524,14.6707589286,-0.0988911543,13.0078125,-0.0956450972,12.63671875,52,-0.619678497,0.1715526602,-0.6183351693,0.2094707521
-0.1188256648,16.8087332589,-0.1176216186,16.9482421875,-0.1199087122,16.875,53,-1.2106448852,-0.266558089,-1.4450513227,-0.2740947075
-0.1197057786,17.1595982143,-0.1541851301,21.1474609375,-0.151291473,20.8154296875,54,-2.3642631773,-0.733441911,-2.5143328528,-0.7236768802
-0.1391834168,19.6309988839,-0.1248830118,17.5390625,-0.1251782033,17.79296875,55,-1.4397496857,-0.332247557,-1.6245947843,-0.3788300836
-0.129855705,18.3796037946,-0.1288163291,19.130859375,-0.1273465285,19.0869140625,56,-1.5638500967,-0.5092290988,-1.6984745217,-0.5264623955
-0.1037329138,14.3017578125,-0.0841290618,10.5615234375,-0.0829553091,10.5126953125,57,-0.1539185277,0.4435396308,-0.1859654354,0.451810585
-0.088234429,11.8756975446,-0.0965582455,12.724609375,-0.1010497184,12.9833984375,58,-0.5460727022,0.2030401737,-0.8024828173,0.1699164345
-0.096188082,13.1459263393,-0.0873491057,11.689453125,-0.0858124248,11.38671875,59,-0.2555143916,0.3181324647,-0.2833138184,0.3520891365
-0.095624643,12.94921875,-0.1031140481,13.115234375,-0.0975660427,12.9345703125,60,-0.7529153595,0.1596091205,-0.6837861227,0.1754874652
-0.1342310196,19.0513392857,-0.1360587385,20.107421875,-0.1332895145,19.892578125,61,-1.7923559392,-0.6178067318,-1.900965474,-0.6183844011
-0.1319844625,19.4077845982,-0.113849958,17.4169921875,-0.1163722324,17.392578125,62,-1.0916449175,-0.3186753529,-1.3245554722,-0.3331476323
-0.1169426702,17.1393694196,-0.127319729,18.1884765625,-0.126512172,17.8955078125,63,-1.5166307441,-0.404451683,-1.6700461107,-0.3905292479
-0.1210246079,17.4323381696,-0.1238843534,17.5390625,-0.1182775684,16.9970703125,64,-1.4082409339,-0.332247557,-1.3894745706,-0.2880222841
-0.1196119196,16.9280133929,-0.1146208296,16.2109375,-0.113688831,15.9912109375,65,-1.1159667471,-0.1845819761,-1.2331259258,-0.1732590529
-0.1009334173,13.8490513393,-0.0936959329,11.982421875,-0.0915707225,11.8408203125,66,-0.4557636485,0.2855591748,-0.4795120218,0.3002785515
-0.1061331905,14.2229352679,-0.0990816914,12.2412109375,-0.0935035714,11.982421875,67,-0.6256901498,0.2567861021,-0.54536855,0.2841225627
-0.1154828764,15.4778180804,-0.1327565116,16.572265625,-0.1283471101,16.376953125,68,-1.6881671106,-0.2247557003,-1.7325665959,-0.217270195
-0.116152745,15.4952566964,-0.1041101945,13.5986328125,-0.1046016984,13.41796875,69,-0.7843448532,0.1058631922,-0.9235067989,0.1203342618
-0.1109700875,15.0948660714,-0.1344059939,18.9111328125,-0.1402525949,19.1064453125,70,-1.7402100613,-0.4847991314,-2.1382133486,-0.5286908078
,,,,,,,,,,
,,,,,,,,,,
-0.1149413137,16.0532924107,-0.1658399793,22.5830078125,-0.165546141,22.5830078125,71,-2.7319862643,-0.8930510315,-3.0000215803,-0.9253481894
-0.1398975805,19.0129743304,-0.1167630206,17.98828125,-0.1176208817,17.412109375,72,-1.1835551886,-0.3821932682,-1.3670997742,-0.3353760446
-0.0933621424,14.0938895089,-0.0886718471,16.0693359375,-0.0885996497,15.8056640625,73,-0.2972483131,-0.1688382193,-0.3782808632,-0.1520891365
-0.0699492509,12.5746372768,-0.074344437,14.8974609375,-0.0739665396,14.892578125,74,0.1547969561,-0.0385450597,0.1203022424,-0.0479108635
-0.0574213381,11.7654854911,-0.0901248627,16.03515625,-0.087706333,15.4736328125,75,-0.3430925261,-0.1650380022,-0.3478435461,-0.1142061281
-0.0701519907,13.0684988839,-0.0705957321,15.5224609375,-0.0737806591,15.9521484375,76,0.273072648,-0.1080347448,0.1266356087,-0.1688022284
-0.0684170042,13.1619698661,-0.0792774068,15.9814453125,-0.078457296,15.5322265625,77,-0.0008435699,-0.1590662324,-0.03270797,-0.1208913649
-0.0472784856,10.1778738839,-0.0505425289,10.517578125,-0.0505345272,10.3173828125,78,0.9057728754,0.4484256243,0.918683817,0.4740947075
-0.0374072271,8.3189174107,-0.0213720128,5.2197265625,-0.0217678804,5.3662109375,79,1.8261341771,1.0374592834,1.8988284314,1.0389972145
-0.0344723359,8.5149274554,-0.0296484892,7.763671875,-0.0295747288,7.7734375,80,1.5650024045,0.7546145494,1.6328314802,0.7643454039
-0.045884615,11.9461495536,-0.0419797698,11.4501953125,-0.0400817896,10.7275390625,81,1.1759371777,0.3447339848,1.2748321906,0.4272980501
-0.0571367191,14.8256138393,-0.058806738,15.6689453125,-0.0595869332,16.1083984375,82,0.6450281489,-0.1243213898,0.6102479022,-0.1866295265
-0.0695424664,16.8680245536,-0.0461000653,12.3095703125,-0.044835914,12.3974609375,83,1.0459374007,0.2491856678,1.1128484361,0.2367688022
-0.0630042612,15.8865792411,-0.052417057,14.4775390625,-0.0514053847,14.12109375,84,0.8466294876,0.0081433225,0.8890117345,0.0401114206
-0.0696573386,17.0186941964,-0.0503529044,13.3544921875,-0.049972826,13.447265625,85,0.9117557316,0.1330076004,0.9378222462,0.1169916435
