step,x,fx
1,6.5649843215942,-0.18506807088852
2,37.287071228027,0.35123679041862
3,32.456527709961,-0.11780145019293
4,29.70892906189,-0.28605729341507
5,35.068664550781,0.10575626045465
6,25.796186447144,-0.42658334970474
7,20.601980209351,-0.47411242127419
8,11.26381111145,-0.31706538796425
9,-2.9795517921448,0.073288433253765
10,-39.201934814453,0.2735241651535
11,-45.064624786377,0.43949800729752
12,-28.844564437866,0.23154835402966
13,-13.493238449097,0.2359319627285
14,14.960789680481,-0.40402093529701
15,67.512344360352,12.358541488647
16,55.712730407715,5.2329216003418
17,33.736511230469,-0.016575815156102
18,44.088790893555,1.4883409738541
19,33.738437652588,-0.016411697492003
20,27.404138565063,-0.3814984858036
