step,x,fx
1,14.085861206055,-1.5296530723572
2,57.293529510498,-3.7612118721008
3,54.001811981201,-4.2413306236267
4,40.421794891357,-4.5274791717529
5,28.60347366333,-3.4180200099945
6,27.94905090332,-3.3378720283508
7,11.936700820923,-1.2604658603668
8,-9.5472888946533,0.62476253509521
9,-45.354537963867,0.76789975166321
10,-41.609725952148,0.74009704589844
11,-24.946708679199,0.90046054124832
12,-4.9657530784607,0.37160795927048
13,9.2966737747192,-0.944002866745
14,44.994144439697,-4.6810178756714
15,45.739437103271,-4.6853528022766
16,32.42887878418,-3.857531785965
17,21.308755874634,-2.4781558513641
18,6.85298204422,-0.66796159744263
19,-18.483808517456,0.8800014257431
20,-43.761959075928,0.74908429384232
